number,value,state,params_class_weight_benign,params_classifier_dropout,params_entropy_lambda,params_learning_rate,params_patch_proj_dropout,params_weight_decay,user_attrs_best_avg_val_loss,user_attrs_best_epoch,user_attrs_best_epoch_fold_val_accs,user_attrs_best_epoch_fold_val_losses,user_attrs_early_stopped_epoch,user_attrs_per_fold_best_val_loss,user_attrs_pruned_epoch
44,0.2940650943770049,COMPLETE,2.3191855714071488,0.2382779978015917,0.0005964223885401729,7.672541369426195e-05,0.20938771640283177,0.00028050769361372726,0.2940650943770049,4.0,"[0.8888888888888888, 0.8333333333333334, 0.8421052631578947, 0.8421052631578947, 0.9473684210526315]","[0.23286282076312798, 0.22333643003892373, 0.3142865910298209, 0.44837931912364803, 0.2514603109295039]",19.0,"[0.1878431269429165, 0.2089402301771012, 0.20519991687040087, 0.4014432864837126, 0.132741707976406]",
45,0.2600695108458538,COMPLETE,2.1372206384870633,0.21465608364354577,0.0005070702233376005,2.8786977113845668e-05,0.24489394559330985,0.0009462978076593064,0.2600695108458538,11.0,"[0.8333333333333334, 0.8888888888888888, 0.9473684210526315, 0.9473684210526315, 0.8421052631578947]","[0.19771165099074198, 0.26783483337658254, 0.1795518283589014, 0.40593977223474403, 0.24930946926829883]",19.0,"[0.19771165099074198, 0.20661087928359242, 0.1795518283589014, 0.32056209013650294, 0.24827288854277485]",
46,0.5279521777827247,PRUNED,3.707512802279973,0.26003482338609124,0.00024086217613115382,0.00021322395769743867,0.3685425683045709,0.0006617978150131816,,,,,,,7.0
47,0.5237589823546813,PRUNED,2.1073086079150505,0.4564777266183477,0.0002751870752098873,0.00035988178957508846,0.335423389531543,0.000611492800910355,,,,,,,7.0
48,0.2658516153168938,COMPLETE,2.502639268088025,0.2163097353152638,4.1649260049610095e-05,9.059691037738258e-05,0.30225642462108276,0.0009294904051366552,0.2658516153168938,7.0,"[0.9444444444444444, 0.8888888888888888, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.14713936185290777, 0.19649998304470706, 0.0937997296433381, 0.6960734000614186, 0.19574560198209742]",19.0,"[0.10956904899066089, 0.16641048842089073, 0.0937997296433381, 0.2904699027697605, 0.17600720533819805]",
49,0.39512161149744857,PRUNED,2.4650780344542156,0.21596910246484238,2.0569276731227583e-05,0.00011589813026750439,0.30684692649850304,0.0009289549994927064,,,,,,,8.0
50,0.7442389130998879,PRUNED,2.0029236473287853,0.2282851420108346,4.283688259644876e-05,9.455805644702464e-05,0.26595439647638236,0.00040432040865133787,,,,,,,7.0
51,0.2838443115168622,COMPLETE,2.838037633550046,0.24672264373517644,3.259296853674562e-05,2.6014518624451997e-05,0.2815673800168055,0.0006947007527276391,0.2838443115168622,8.0,"[0.9444444444444444, 0.8888888888888888, 0.8421052631578947, 0.8947368421052632, 0.8947368421052632]","[0.2973976561107621, 0.200509332634182, 0.24800963653711064, 0.4153377507678478, 0.25796718153440834]",18.0,"[0.2694362941852483, 0.1397866010007773, 0.13832055388053577, 0.33371514808631647, 0.25796718153440834]",
52,0.311821700073234,COMPLETE,2.625662735550341,0.21048096374234204,7.971603610629582e-05,4.368162468904027e-05,0.2976778159187731,0.0009928091138153416,0.311821700073234,4.0,"[0.8333333333333334, 0.8888888888888888, 0.8421052631578947, 0.8947368421052632, 0.8421052631578947]","[0.37240819704149747, 0.2185833751508552, 0.2804051479692326, 0.3552395399463804, 0.3324722402582043]",18.0,"[0.3092579752693483, 0.1277417148902009, 0.19565082017058893, 0.3552395399463804, 0.2613153825294782]",
53,0.36504578377196445,PRUNED,2.540093932177883,0.20120989552217663,0.00033123881278066436,1.6415883105789773e-05,0.335463365249802,3.656955196194383e-06,,,,,,,7.0
54,0.32392824425686106,COMPLETE,2.3416339487741977,0.22717016140180807,0.00013314929876864047,3.072147099772177e-05,0.2066030947987965,1.6049579544903172e-05,0.32392824425686106,5.0,"[0.8333333333333334, 0.9444444444444444, 0.7894736842105263, 0.8421052631578947, 0.8947368421052632]","[0.3872585245796169, 0.23065517739289337, 0.2867582747222562, 0.4059847034023781, 0.3089845411871609]",18.0,"[0.26806661002122684, 0.14351149928137058, 0.2081394188483644, 0.38742255037160295, 0.20953432640496766]",
55,0.5239976512161153,PRUNED,2.913556091270034,0.2768722897650684,0.0015755322367472745,0.0004648570465212957,0.4939535814198086,0.0009463828076471332,,,,,,,10.0
56,0.3927136378035995,PRUNED,2.7341580667627974,0.21422985701284247,0.00017880400389889292,1.219100510738743e-05,0.35847034105181785,0.0005078519110325668,,,,,,,7.0
57,0.53829184399716,PRUNED,3.027762413904481,0.23878810753363555,1.845046274885843e-05,0.00017760171620922292,0.24749293729511834,9.928384037595668e-06,,,,,,,9.0
58,0.36380377492788435,PRUNED,2.7889272895865975,0.4100448105386737,0.001094831179656855,2.1201157282689137e-05,0.2614591158160331,0.00024455289328829895,,,,,,,7.0
59,0.32717432340665914,COMPLETE,2.074910191624477,0.3177642240017304,0.0004295684745572142,6.298217002364307e-05,0.3051448135002037,2.4648606716670195e-05,0.32717432340665914,5.0,"[0.8333333333333334, 0.9444444444444444, 0.8421052631578947, 0.8421052631578947, 0.8947368421052632]","[0.4204498640376389, 0.2721387159214525, 0.19357081625831166, 0.5065018257775687, 0.24321039503832398]",18.0,"[0.33551091418040513, 0.23260936374734026, 0.19357081625831166, 0.3924430472482192, 0.13303912741531876]",
60,0.6163721282344337,PRUNED,2.163913001190657,0.2592738685772083,0.0007471230201885663,0.0010895617120851983,0.3147416197357661,5.733967671225466e-05,,,,,,,7.0
61,0.3128951300708277,COMPLETE,2.20049873448097,0.20018313836556587,0.000439926719234131,3.225701960268438e-05,0.24537473387274197,0.0003200495290934531,0.3128951300708277,7.0,"[0.7777777777777778, 0.9444444444444444, 0.9473684210526315, 0.8947368421052632, 0.8947368421052632]","[0.3664532972729325, 0.19878779509842084, 0.23689454104935162, 0.4891102299052842, 0.27322978702814954]",18.0,"[0.3124277519754186, 0.18726219688096535, 0.234701986074996, 0.3805907598059428, 0.27322978702814954]",
62,0.40652512147238384,PRUNED,2.3058870854756073,0.2095041299093467,0.000584508810688073,1.3828015915727123e-05,0.22232222900926407,0.0003675405159981097,,,,,,,7.0
63,0.26081930047718854,COMPLETE,2.3814132269837534,0.22074247816717807,0.0004818534120503395,5.434992710354755e-05,0.2886336464532182,0.0007147505273187456,0.26081930047718854,7.0,"[0.7777777777777778, 0.9444444444444444, 0.8947368421052632, 0.8421052631578947, 0.8947368421052632]","[0.3219436054061791, 0.1275612094451459, 0.1599533926811139, 0.5003448929344957, 0.19429340191900815]",18.0,"[0.2591882516422225, 0.12189468012466678, 0.1599533926811139, 0.3123788331316686, 0.19429340191900815]",
